id,name,road_type
484851797,Jalan Matraman Salemba Gg VII,living_street
516546191,Gang Anggrek III,living_street
484851798,Jalan Matraman Salemba Gg VI,living_street
523649818,Gang Barokah 88,living_street
484851799,Jalan Matraman Salemba Gg V,living_street
498738172,Gang Ceri IV,living_street
484854193,Jalan H. Muhirin,living_street
496566828,Gang Galindra III,living_street
484854198,Jalan Muhirin I/Gang W,living_street
516589765,Gang Panca Wisma,living_street
484854763,Gang Pelita II,living_street
502297748,Gang N VII,living_street
484854764,Gang Pelita IV,living_street
502297782,Gang H. Abdul Aziz,living_street
484854765,Gang Pelita I,living_street
502572277,Gang Buah,living_street
484858302,Gg. Moncokerto VIII,living_street
523650027,Gang Timbul II,living_street
484862878,Jalan Tanjung Lengkong Gang Saphire,living_street
519614736,Jalan Bhineka X,living_street
484862886,Jalan Tanjung Lengkong Gang Rubby,living_street
506396437,Jalan Sawah Lio Gang 22,living_street
484862888,Jalan Tanjung Lengkong Gang Masjid,living_street
506658606,Jalan Mawar Merah II Gang V,living_street
486513235,Jalan Jarak II,living_street
495402122,Gang Penganten,living_street
484862889,Gang Nurodum,living_street
506463276,Gang Mushola IV,living_street
484862891,Jalan Tanjung Lengkong Gang Kakak Tua,living_street
496591578,Gang Murni II,living_street
484862914,Gang Bengkok,living_street
506938821,Gang Nusin,living_street
484862921,Jalan Cawang 1,living_street
495401427,Jalan T,living_street
484862925,Jalan Tanjung Lengkong Gang Kakak Tua I,living_street
524288091,Gang H. Subuh,living_street
484862927,Jalan Otto Iskandardinata Gang Lembaga,living_street
495401420,Gang L,living_street
484862943,Jalan Tanjung Lengkong Gang Puskesmas,living_street
495397825,Jalan Cipinang Lontar III,living_street
486513236,Jalan Jarak VIII,living_street
523573380,Jalan Melati Indah III,living_street
484875863,Jalan Menteng Sukabumi,living_street
506990810,Gang Karya,living_street
486513237,Jalan Jarak VII,living_street
523796027,Jalan Pertenakan Raya,living_street
486789714,Gang Dadap 4,living_street
498709019,Gang H. Sa'atun,living_street
486789715,Gang Dadap 1,living_street
507133381,Gang Melon III,living_street
486789716,Gang Dadap 3,living_street
507133347,Gang Kemuning,living_street
484871577,Gang Melati,living_street
524558627,Gang Krapu 11,living_street
484871578,Gang Flamboyan,living_street
499215911,Gang Melati I,living_street
484871595,Jalan Otista Gang Mangga,living_street
496601775,Jalan Paseban Dalam Gang 2,living_street
484871596,Jalan Otista Gang Mangga,living_street
507118265,Gang H Deden,living_street
484871597,Jalan Otista Gang Mangga,living_street
496601827,Jalan Pramuka Jati V,living_street
484871598,Jalan Otista Gang Mangga,living_street
500565555,Jalan Delima IV Gang 6,living_street
484871599,Jalan Otista Gang Mangga,living_street
507133500,Gang Jambu,living_street
484871609,Jalan Otista Gang Mangga,living_street
507133514,Jalan Wijayakusuma IV,living_street
486789717,Gang Dadap 5,living_street
523649853,Jalan Mushola Nurul Hikmah,living_street
484871645,Jalan Sensus III B,living_street
507135365,Gang Masjid III,living_street
484871648,Jalan Sensus II C,living_street
507135379,Gang Masjid VII,living_street
484871649,Jalan Sensus II D,living_street
507133463,Gang Delima,living_street
484871653,Jalan Sensus II C,living_street
507133527,Gang Masjid,living_street
484871660,Gang Cempaka,living_street
500647851,Gang Assalam,living_street
484871661,Gang Dahlia,living_street
500647855,Gang Pepap,living_street
484871662,Gang Mawar,living_street
524558628,Gang Krapu 12,living_street
484871663,Gang Kenanga,living_street
507153964,Jalan Poih Bin Kaeng 1,living_street
484871908,Gang Sepakat,living_street
500826053,Jalan KP. Irian Gang 31,living_street
484875861,Jalan Menteng Sukabumi,living_street
524570893,Jalan Kamal Muara,living_street
484875862,Jalan Menteng Sukabumi,living_street
507135428,Gang Mekar II,living_street
484875865,Jalan Menteng Sukabumi,living_street
507201940,Gang Cempaka,living_street
484875867,Gang Menteng Sukabumi 4,living_street
507270500,Gang Ikhlas 3,living_street
484875868,Gang Menteng Sukabumi 4,living_street
507270561,Gang An Nur V,living_street
484875869,Gang Menteng Sukabumi 4,living_street
502327900,Gang Mushola,living_street
484875870,Gang Menteng Sukabumi 4,living_street
495380153,Gang Asoka V,living_street
484875871,Gang Menteng Sukabumi 1,living_street
501032474,Jalan Bunga Rampai V Gang 5,living_street
484878365,Jalan Menteng Tenggulun,living_street
506990924,Gang Cempaka,living_street
484907743,Gang Menteng Sukabumi 4,living_street
496601832,Jalan Pramuka Jati I,living_street
485035841,Jalan Malaka IV Gang 1,living_street
507265352,Jalan Tembakau I,living_street
485046286,Jalan Cawang 1,living_street
